number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_batch_size,params_learning_rate_init,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,state
110,0.8779990123339078,2026-07-26 11:47:04.317159,2026-07-26 11:47:28.124915,0 days 00:00:23.807756,relu,0.00011485331908263952,64,0.0018711048996008551,2,160,96.0,,,COMPLETE
111,0.8717945755518252,2026-07-26 11:47:28.147515,2026-07-26 11:49:43.275062,0 days 00:02:15.127547,relu,0.0002128017574870786,64,0.000609386217142359,2,256,352.0,,,COMPLETE
112,0.8854828895615172,2026-07-26 11:49:43.302566,2026-07-26 11:51:38.448156,0 days 00:01:55.145590,relu,0.00017513400071284438,64,0.0006984576944233219,2,288,352.0,,,COMPLETE
113,0.8886662471320614,2026-07-26 11:51:38.473011,2026-07-26 11:54:00.532540,0 days 00:02:22.059529,relu,5.3468564208941507e-05,64,0.0005182067507781336,2,256,384.0,,,COMPLETE
114,0.8845995332375833,2026-07-26 11:54:00.557945,2026-07-26 11:55:59.249016,0 days 00:01:58.691071,relu,0.00012260223272704746,64,0.0006509328083247875,2,224,352.0,,,COMPLETE
115,0.8686685169721062,2026-07-26 11:55:59.301710,2026-07-26 11:57:56.900294,0 days 00:01:57.598584,relu,0.02562525382755453,64,0.0008079467752817259,2,224,384.0,,,COMPLETE
116,0.882332983073268,2026-07-26 11:57:56.927770,2026-07-26 11:58:42.974617,0 days 00:00:46.046847,relu,3.090471667583741e-05,64,0.001156407552867277,2,96,320.0,,,COMPLETE
117,0.8731776765230501,2026-07-26 11:58:42.998984,2026-07-26 11:59:08.417758,0 days 00:00:25.418774,tanh,0.0003338715640246237,64,0.001489120329731382,2,128,192.0,,,COMPLETE
118,0.8642974656530766,2026-07-26 11:59:08.440396,2026-07-26 11:59:23.736547,0 days 00:00:15.296151,relu,0.004155691803147449,64,0.0020155180724390938,2,256,64.0,,,COMPLETE
119,0.8810533193678933,2026-07-26 11:59:23.760017,2026-07-26 12:01:55.066527,0 days 00:02:31.306510,relu,0.0022886274732042923,128,0.0003220609796220329,4,288,256.0,288.0,288.0,COMPLETE
120,0.8726492580962033,2026-07-26 12:01:55.104327,2026-07-26 12:02:10.054282,0 days 00:00:14.949955,relu,0.000832474246544037,64,0.0013445033447691131,2,96,32.0,,,COMPLETE
121,0.8603843844952095,2026-07-26 12:02:10.076823,2026-07-26 12:02:32.013145,0 days 00:00:21.936322,relu,0.0005729663887771839,64,0.0010873429758033709,2,160,96.0,,,COMPLETE
122,0.8750555272491873,2026-07-26 12:02:32.039751,2026-07-26 12:02:57.114552,0 days 00:00:25.074801,relu,0.00018365718374503809,64,0.0025936374562657073,2,160,64.0,,,COMPLETE
123,0.8744328033270159,2026-07-26 12:02:57.161634,2026-07-26 12:03:39.861281,0 days 00:00:42.699647,relu,0.00044340634121185714,64,0.0015689467758650342,2,128,96.0,,,COMPLETE
124,0.8869090259806032,2026-07-26 12:03:39.894260,2026-07-26 12:04:37.584558,0 days 00:00:57.690298,relu,8.017871376324238e-05,64,0.0008301582622799653,2,192,96.0,,,COMPLETE
